호선,역이름,무임승하차비율,무임승하차,유임승하차,출퇴근시간 이용객수,출퇴근시간 제외한 이용객수 ,역간거리(km),지역,행정동,노인인구비율,노인인구수,평균연령,인구수(사분위수),인구밀도 (명/㎢),지역별통근인원비율(12세 이상),지역내총생산(2016)(백만원),자치구별 재난지원금 대상자 비율 ,석유사용량(bbl),교통안전지수,자동차수,통근 통학시 지하철 이용 비율,250m내 버스정류장 수,자치구별 지하철역 개수,자동차세,재산세,지방소득세(2020),지역별 기초수급자 비율,차 1대당 석유사용량,"2020 세금평균(자동차, 재산,지방소득)"
1호선,동대문,29.74611037,256357.7205,605461.5807,201212.7912,668491.0769,0.6,종로구,창신동,0.204215079,1432.333333,48.7,1,"6,431",0.624675168,"28,036,775",70.2,13516.80335,79.78,50533,30.4,5,15,"9,781","101,544","464,908",0.0027745,0.2675,192078
1호선,동묘앞,46.7424452,285406.8925,325187.8064,139446.4615,459489.4505,0.7,종로구,숭인동,0.179684014,"1,690",44.7,1,"6,431",0.624675168,"28,036,775",70.2,13516.80335,79.78,50533,30.4,8,15,"9,781","101,544","464,908",0.003191,0.2675,192078
1호선,서울역,13.29169016,392607.1828,2561172.043,965310.6264,2019218.374,1.1,중구,회현동,0.258895478,"1,397",51.2,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,10,24,"10,353","150,957","853,522",0.0036656,1.2096,338277
1호선,시청,13.33140338,183237.7312,1191244.204,522431.5495,843980.0989,1,중구,소곡동,0.088843577,305,41.4,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,7,24,"10,353","150,957","853,522",0.0003879,1.2096,338277
1호선,신설동,25.84470255,225766.4408,647783.7204,301949.8242,576345.1319,0.9,동대문구,용신동,0.172544891,"5,900",44.4,3,"24,762",0.627476874,"7,180,082",80.7,56891.33842,77.07,98441,32.1,11,14,"18,247","68,342","59,508",0.0048248,0.5779,48699
1호선,제기동,54.23527468,609370.0861,514197.7204,269293.4835,847797.5275,1,동대문구,제기동,0.219732291,"5,844",47,3,"24,762",0.627476874,"7,180,082",80.7,56891.33842,77.07,98441,32.1,3,14,"18,247","68,342","59,508",0.004529,0.5779,48699
1호선,종각,11.97508129,277174.0108,2037415.796,833599.6593,1506018.747,0.8,종로구,종로1.2.3.4가동,0.226581991,"1,998",50.9,1,"6,431",0.624675168,"28,036,775",70.2,13516.80335,79.78,50533,30.4,13,15,"9,781","101,544","464,908",0.0052802,0.2675,192078
1호선,종로3가,36.01086804,643358.1183,1143208.419,431128.8242,1373562.099,0.9,종로구,종로1.2.3.4가동,0.226581991,"1,998",50.9,1,"6,431",0.624675168,"28,036,775",70.2,13516.80335,79.78,50533,30.4,11,15,"9,781","101,544","464,908",0.0052802,0.2675,192078
1호선,종로5가,34.52337819,500270.9677,948807.871,429670.4396,1025501.527,0.8,종로구,종로5.6가동,0.19253977,"1,053",46.8,1,"6,431",0.624675168,"28,036,775",70.2,13516.80335,79.78,50533,30.4,15,15,"9,781","101,544","464,908",0.002143,0.2675,192078
1호선,청량리(서울시립대입구),39.50521682,642270.9362,983516.7139,423827.8191,1197890.929,0.8,동대문구,청량리동,0.276746982,"5,295",50.7,3,"24,762",0.627476874,"7,180,082",80.7,56891.33842,77.07,98441,32.1,10,14,"18,247","68,342","59,508",0.005,0.5779,48699
2호선,강남,5.642659611,308805.3441,5163886,1629976.088,3858467.297,0.8,강남구,역삼1동,0.131300203,"3,716",41,3,"13,616",0.660353369,"59,981,514",45.2,184499.0193,67.52,247069,30.4,16,33,"54,479","612,630","1,317,569",0.0021371,0.7468,661559
2호선,강변(동서울터미널),9.98766008,269361,2427577,"767,197.80","1,928,130.98",0.9,광진구,구의동,0.15091343,3768.5,42.65,2,"20,666",0.650722907,"5,970,256",76.9,64470.5604,83,99327,35.7,9,11,"18,753","74,985","75,468",0.0022025,0.6491,56402
2호선,건대입구,7.213497249,183076.3333,2354892.796,723364.8571,1821864.209,1.2,광진구,화양동,0.087606997,"2,354",37.1,2,"20,666",0.650722907,"5,970,256",76.9,64470.5604,83,99327,35.7,9,11,"18,753","74,985","75,468",0.0021031,0.6491,56402
2호선,교대(법원.검찰청),14.38169342,323415.6705,1925385.364,"702,608.55","1,546,686.51",1.2,서초구,서초동,0.131300203,3938.5,41.5,2,"8,858",0.669376204,"29,493,607",45.2,141363.4971,77.1,176544,31.5,11,19,"41,774","361,958","671,136",0.0006003,0.8007,358289
2호선,구로디지털단지,9.293359939,327322.5806,3194789.796,1297110.473,2233154.582,1.1,구로구,구로3동,0.142081699,"3,586",42.5,3,"20,933",0.630238761,"11,964,909",84.2,82654.40333,78.13,145961,39.6,8,13,"25,689","72,886","111,685",0.0011543,0.5663,70087
2호선,구의(광진구청),14.92398797,206957.5843,1179786.929,"462,643.29","922,585.11",1.6,광진구,자양1동,0.15651036,"3,588",43.9,2,"20,666",0.650722907,"5,970,256",76.9,64470.5604,83,99327,35.7,5,11,"18,753","74,985","75,468",0.003728,0.6491,56402
2호선,낙성대(강감찬),12.67526278,201164.125,1385896.661,"522,598.61","1,072,014.53",1.7,관악구,낙성대동,0.113760027,"2,028",38.7,4,"16,891",0.631388488,"5,358,231",84.2,35455.66331,77.93,118294,40.6,10,4,"21,403","68,343","56,941",0.0008956,0.2997,48896
2호선,당산,10.30702274,130584,1136358,457496.8022,812732.6703,1.1,영등포구,당산동,0.147220186,4146,42.1,3,"16,331",0.644943875,"27,701,698",72.6,183681.3439,75.22,145699,46.6,10,19,"27,663","144,087","649,609",0.0010708,1.2607,273786
2호선,대림(구로구청),12.8053942,229681.2952,1563947.949,"564,633.09","1,222,538.18",1.1,구로구,구로5동,0.154107666,"4,941",43.5,3,"20,933",0.630238761,"11,964,909",84.2,82654.40333,78.13,145961,39.6,10,13,"25,689","72,886","111,685",0.0011637,0.5663,70087
2호선,도림천,19.53535702,13634.39785,56159.04302,26671.48352,41950.57143,1,구로구,신도림동,0.134233738,"4,870",40.8,3,"20,933",0.630238761,"11,964,909",84.2,82654.40333,78.13,145961,39.6,3,13,"25,689","72,886","111,685",0.0004411,0.5663,70087
2호선,동대문역사문화공원(DDP),11.65993865,108471.2845,821819.0693,"250,735.16","674,031.67",1,중구,광희동,0.177336847,"1,144",46.6,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,13,24,"10,353","150,957","853,522",0.0018368,1.2096,338277
2호선,뚝섬,10.95210107,118865.043,966452.2151,408954.1209,652100.7802,1.1,성동구,성수동,0.103821431,2290.75,44.575,1,"17,359",0.639532771,"10,503,045",69.1,59677.72459,78.71,105988,39.8,5,19,"20,293","99,430","129,927",0.0016154,0.5631,83217
2호선,문래,13.79267483,156410.2688,977599.4193,450727.0659,679855.967,1.2,영등포구,문래동,0.145699615,"4,767",41.1,3,"16,331",0.644943875,"27,701,698",72.6,183681.3439,75.22,145699,46.6,7,19,"27,663","144,087","649,609",0.0006849,1.2607,273786
2호선,방배,13.35306435,148570.2688,964060.2473,371216.8681,751232.8462,1.7,서초구,방배동,0.147647609,3368.25,43.725,2,"8,858",0.669376204,"29,493,607",45.2,141363.4971,77.1,176544,31.5,15,19,"41,774","361,958","671,136",0.0008189,0.8007,358289
2호선,봉천,21.24215431,284087.7957,1053289.72,436962.6374,894140.7033,1,관악구,"은천동,청룡동",0.153609556,5340,41.7,4,"16,891",0.631388488,"5,358,231",84.2,35455.66331,77.93,118294,40.6,12,4,"21,403","68,343","56,941",0.0028279,0.2997,48896
2호선,사당,14.61563466,366897.7526,2143412.344,757749.3956,1757489.275,1.6,동작구,사당동,0.148664035,3828.6,44.18,3,"24,113",0.637999816,"5,184,807",73.5,30228.83056,78.71,106503,43.3,12,17,"21,743","83,726","73,671",0.0014935,0.2838,59713
2호선,삼성(무역센터),6.939041738,227891.247,3056297.775,"1,130,570.22","2,198,747.63",1,강남구,삼성1동,0.149680461,"2,167",43.6,3,"13,616",0.660353369,"59,981,514",45.2,184499.0193,67.52,247069,30.4,16,33,"54,479","612,630","1,317,569",0.000334,0.7468,661559
2호선,상왕십리,16.5915917,125410.5484,630457.5484,257862.3516,472402.8352,0.9,성동구,하왕십리동,0.149680461,"3,877",42.3,1,"17,359",0.639532771,"10,503,045",69.1,59677.72459,78.71,105988,39.8,6,19,"20,293","99,430","129,927",0.003215,0.5631,83217
2호선,서울대입구(관악구청),12.8577273,388863.9687,2635496.088,"909,747.16","2,118,962.07",1,관악구,중앙동,0.15093979,"2,369",41.8,4,"16,891",0.631388488,"5,358,231",84.2,35455.66331,77.93,118294,40.6,13,4,"21,403","68,343","56,941",0.0012264,0.2997,48896
2호선,서초,12.57465687,159398.4409,1108218.183,443897.5714,823052.1758,0.7,서초구,서초동,0.122082585,3938.5,41.5,2,"8,858",0.669376204,"29,493,607",45.2,141363.4971,77.1,176544,31.5,8,19,"41,774","361,958","671,136",0.0006003,0.8007,358289
2호선,선릉,13.08887454,374376.2258,2485886.699,1020288.33,1850563.736,1.3,강남구,대치동,0.171488228,3306.333333,40.36666667,3,"13,616",0.660353369,"59,981,514",45.2,184499.0193,67.52,247069,30.4,7,33,"54,479","612,630","1,317,569",0.0005401,0.7468,661559
2호선,성수,11.47709153,197483.5484,1523192.355,720844.3187,973995.4505,2.3,성동구,성수동2가,0.199939958,2435.5,45.65,1,"17,359",0.639532771,"10,503,045",69.1,59677.72459,78.71,105988,39.8,7,19,"20,293","99,430","129,927",0.0018641,0.5631,83217
2호선,시청,8.055105893,107838.7634,1230924.065,583470.6154,757732.6264,1.1,중구,소곡동,0.088843577,305,41.4,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,12,24,"10,353","150,957","853,522",0.0003879,1.2096,338277
2호선,신답,22.12276922,20211.08602,71147.66666,33249.16484,56352.3956,0.9,성동구,용답동,0.17578251,"2,179",45.8,1,"17,359",0.639532771,"10,503,045",69.1,59677.72459,78.71,105988,39.8,10,19,"20,293","99,430","129,927",0.0032045,0.5631,83217
2호선,신당,22.71409245,196282.9677,667863.2365,273933.4066,590556.7143,0.9,중구,신당동,0.164563846,"1,513",46.2,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,5,24,"10,353","150,957","853,522",0.0034835,1.2096,338277
2호선,신대방,15.75295238,249174.2688,1332588.075,517066.9341,1056263.22,1.8,동작구,신대방1동,0.161618998,"4,029",43.4,3,"24,113",0.637999816,"5,184,807",73.5,30228.83056,78.71,106503,43.3,10,17,"21,743","83,726","73,671",0.0015383,0.2838,59713
2호선,신도림,11.64958571,380878.699,2888582.624,1030335.363,2281526.813,1.8,구로구,신도림동,0.134233738,"4,870",40.8,3,"20,933",0.630238761,"11,964,909",84.2,82654.40333,78.13,145961,39.6,8,13,"25,689","72,886","111,685",0.0004411,0.5663,70087
2호선,신림,11.65860629,456017.6237,3455407.226,1255816.462,2680228.868,1.1,관악구,신림동,0.08389022,"1,996",37.4,4,"16,891",0.631388488,"5,358,231",84.2,35455.66331,77.93,118294,40.6,13,4,"21,403","68,343","56,941",0.0017064,0.2997,48896
2호선,신설동,29.88353328,67956.49462,159447.9893,68663.92308,155490.1538,1.2,동대문구,용신동,0.172544891,"5,900",44.4,3,"24,762",0.627476874,"7,180,082",80.7,56891.33842,77.07,98441,32.1,11,14,"18,247","68,342","59,508",0.0048248,0.5779,48699
2호선,신정네거리,22.27529459,129404.2473,451527.4516,201218.6813,385163.022,1.9,양천구,신정동,0.151857493,5547,42.96666667,3,"25,882",0.648501606,"6,022,303",70.8,128079.4167,80.43,151382,39.5,8,6,"29,267","104,276","98,960",0.0033851,0.8461,77501
2호선,신촌,9.870748636,254702.086,2325670.441,683566.3956,1927341.549,1.3,서대문구,신촌동,0.08616717,"2,169",37.3,2,"17,908",0.631021648,"7,452,206",75.8,37801.76273,80.33,89765,28.8,19,7,"17,009","63,421","78,626",0.0016977,0.4211,53019
2호선,아현,20.78832029,122128.4624,465357.4946,187040.3297,391317.4725,0.9,마포구,아현동,0.127162225,"3,264",41.1,2,"15,878",0.656597554,"16,355,733",68.7,43632.41731,79.48,121410,36.4,11,22,"24,041","133,401","189,341",0.0014349,0.3594,115594
2호선,양천구청,21.58090938,88018.60215,319835.3978,139541.5495,269628.0769,1.7,양천구,신정7동,0.178762229,"5,153",44.3,3,"25,882",0.648501606,"6,022,303",70.8,128079.4167,80.43,151382,39.5,5,6,"29,267","104,276","98,960",0.0041096,0.8461,77501
2호선,역삼,10.73634346,296013.5807,2461103.699,1047610.385,1714042.659,1.2,강남구,역삼1동,0.131300203,"3,716",41,3,"13,616",0.660353369,"59,981,514",45.2,184499.0193,67.52,247069,30.4,7,33,"54,479","612,630","1,317,569",0.0021371,0.7468,661559
2호선,영등포구청,15.5675453,194304.7097,1053834.968,474509.5055,773546.967,0.9,영등포구,당산1동,0.166771251,"3,455",43.8,3,"16,331",0.644943875,"27,701,698",72.6,183681.3439,75.22,145699,46.6,5,19,"27,663","144,087","649,609",0.001412,1.2607,273786
2호선,왕십리(성동구청),10.18710887,100932.7957,889856.6129,301068.1868,695074.7802,0.8,성동구,행당2동,0.168542233,"3,909",43.7,1,"17,359",0.639532771,"10,503,045",69.1,59677.72459,78.71,105988,39.8,10,19,"20,293","99,430","129,927",0.0030056,0.5631,83217
2호선,용답,20.9423635,32729.1828,123553,50590.82418,104218.5824,1,성동구,사근동,0.11057554,"1,537",38.1,1,"17,359",0.639532771,"10,503,045",69.1,59677.72459,78.71,105988,39.8,3,19,"20,293","99,430","129,927",0.0009006,0.5631,83217
2호선,용두(동대문구청),33.05356713,45731.18615,92623.58193,"43,260.44","93,768.52",1.2,동대문구,용신동,0.172544891,"5,900",44.4,3,"24,762",0.627476874,"7,180,082",80.7,56891.33842,77.07,98441,32.1,7,14,"18,247","68,342","59,508",0.0048248,0.5779,48699
2호선,을지로3가,13.29299185,159766.6667,1042119.774,468573.033,708702.1209,0.8,중구,을지로동,0.246793227,481,50.3,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,4,24,"10,353","150,957","853,522",0.0011717,1.2096,338277
2호선,을지로4가,23.89126263,168910.0323,538084.9677,249326,462970.1868,0.6,중구,을지로동,0.246793227,481,50.3,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,6,24,"10,353","150,957","853,522",0.0011717,1.2096,338277
2호선,을지로입구,7.605479452,201767.4408,2451154.602,983541.4286,1674582.473,0.7,중구,명동,0.208267509,791,49.5,0,"13,231",0.615770266,"48,654,807",73.1,71269.84584,75.2,58919,41.1,11,24,"10,353","150,957","853,522",0.0007363,1.2096,338277
2호선,이대,10.88700826,116460.4194,953258.7957,294485.5604,797584.5934,0.8,마포구,대흥동,0.129473487,"2,073",41.7,2,"15,878",0.656597554,"16,355,733",68.7,43632.41731,79.48,121410,36.4,13,22,"24,041","133,401","189,341",0.0013226,0.3594,115594
2호선,잠실(송파구청),8.20275968,389177.703,4355295.111,"1,397,469.22","3,266,123.38",1,송파구,"잠실3,6동",0.174873598,4457.5,43.05,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,9,29,"50,715","309,537","363,480",0.0000693,0.7149,241244
2호선,잠실나루,18.20655967,164387.129,738513.4301,306832.1099,608475.3187,1.8,송파구,"잠실4,6동",0.156697961,2940.5,41.8,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,2,29,"50,715","309,537","363,480",0.0000512,0.7149,241244
2호선,잠실새내,15.11216381,207462.5125,1165355.538,416838.3824,931412.5735,1.2,송파구,잠실2동,0.109638348,"3,838",38.6,4,"19,599",0.658157182,"22,002,209",62.1,178618.0463,73.62,249843,42.7,8,29,"50,715","309,537","363,480",0.000052,0.7149,241244
